vendor_name,invoice_number,po_number,total_amount,invoice_date,payment_status,payment_reference,notes
HARI OM,INV-1001,PO-101,12000,2026-01-05,PENDING,,normal
HARI OM,INV-1002,PO-101,13200,2026-01-09,PENDING,,normal
HARI OM,INV-1003,PO-101,14100,2026-01-12,PENDING,,normal
HARI OM,INV-1004,PO-102,15000,2026-01-18,PENDING,,normal
HARI OM,INV-1005,PO-102,16800,2026-01-21,PENDING,,normal
HARI OM,INV-1006,PO-102,17650,2026-01-25,PENDING,,normal
HARI OM,INV-1006,PO-102,17650,2026-01-25,PENDING,,duplicate exact copy
HARI OM,INV-4001,PO-401,95000,2026-02-12,PENDING,,anomaly high amount outlier
HARI OM,INV-5001,LY,12800,2026-02-16,PENDING,,unresolved PO reference
ABC Supplies,INV-2001,PO-201,45000,2026-01-14,PAID,PMT-201,normal
ABC Supplies,INV-2002,PO-201,46000,2026-01-20,PAID,PMT-202,normal
ABC Supplies,INV-2003,PO-999,70000,2026-01-26,PENDING,,po mismatch high amount
Delta Traders,INV-3001,,0,2026-02-02,PENDING,,zero amount missing PO
